ubica_geo,entidad,desc_ent,municipio,des_mun
"01001","01","Aguascalientes","001","Aguascalientes"
"01002","01","Aguascalientes","002","Asientos"
"01003","01","Aguascalientes","003","Calvillo"
"01004","01","Aguascalientes","004","Cosio"
"01005","01","Aguascalientes","005","Jesus Maria"
"01006","01","Aguascalientes","006","Pabellon De Arteaga"
"01007","01","Aguascalientes","007","Rincon De Romos"
"01008","01","Aguascalientes","008","San Jose De Gracia"
"01009","01","Aguascalientes","009","Tepezala"
"01010","01","Aguascalientes","010","El Llano"
"01011","01","Aguascalientes","011","San Francisco De Los Romo"
"02001","02","Baja California","001","Ensenada"
"02002","02","Baja California","002","Mexicali"
"02003","02","Baja California","003","Tecate"
"02004","02","Baja California","004","Tijuana"
"02005","02","Baja California","005","Playas De Rosarito"
"03001","03","Baja California Sur","001","Comondu"
"03002","03","Baja California Sur","002","Mulege"
"03003","03","Baja California Sur","003","La Paz"
"03008","03","Baja California Sur","008","Los Cabos"
"03009","03","Baja California Sur","009","Loreto"
"04001","04","Campeche","001","Calkini"
"04002","04","Campeche","002","Campeche"
"04003","04","Campeche","003","Carmen"
"04004","04","Campeche","004","Champoton"
"04005","04","Campeche","005","Hecelchakan"
"04006","04","Campeche","006","Hopelchen"
"04007","04","Campeche","007","Palizada"
"04008","04","Campeche","008","Tenabo"
"04009","04","Campeche","009","Escarcega"
"04010","04","Campeche","010","Calakmul"
"04011","04","Campeche","011","Candelaria"
"05002","05","Coahuila De Zaragoza","002","Acuña"
"05004","05","Coahuila De Zaragoza","004","Arteaga"
"05006","05","Coahuila De Zaragoza","006","Castaños"
"05007","05","Coahuila De Zaragoza","007","Cuatro Cienegas"
"05009","05","Coahuila De Zaragoza","009","Francisco I. Madero"
"05010","05","Coahuila De Zaragoza","010","Frontera"
"05013","05","Coahuila De Zaragoza","013","Hidalgo"
"05014","05","Coahuila De Zaragoza","014","Jimenez"
"05017","05","Coahuila De Zaragoza","017","Matamoros"
"05018","05","Coahuila De Zaragoza","018","Monclova"
"05019","05","Coahuila De Zaragoza","019","Morelos"
"05020","05","Coahuila De Zaragoza","020","Muzquiz"
"05022","05","Coahuila De Zaragoza","022","Nava"
"05024","05","Coahuila De Zaragoza","024","Parras"
"05025","05","Coahuila De Zaragoza","025","Piedras Negras"
"05027","05","Coahuila De Zaragoza","027","Ramos Arizpe"
"05028","05","Coahuila De Zaragoza","028","Sabinas"
"05030","05","Coahuila De Zaragoza","030","Saltillo"
"05031","05","Coahuila De Zaragoza","031","San Buenaventura"
"05032","05","Coahuila De Zaragoza","032","San Juan De Sabinas"
"05033","05","Coahuila De Zaragoza","033","San Pedro"
"05035","05","Coahuila De Zaragoza","035","Torreon"
"05036","05","Coahuila De Zaragoza","036","Viesca"
"05037","05","Coahuila De Zaragoza","037","Villa Union"
"06001","06","Colima","001","Armeria"
"06002","06","Colima","002","Colima"
"06003","06","Colima","003","Comala"
"06004","06","Colima","004","Coquimatlan"
"06005","06","Colima","005","Cuauhtemoc"
"06006","06","Colima","006","Ixtlahuacan"
"06007","06","Colima","007","Manzanillo"
"06008","06","Colima","008","Minatitlan"
"06009","06","Colima","009","Tecoman"
"06010","06","Colima","010","Villa De Alvarez"
"07003","07","Chiapas","003","Acapetahua"
"07004","07","Chiapas","004","Altamirano"
"07006","07","Chiapas","006","Amatenango De La Frontera"
"07009","07","Chiapas","009","Arriaga"
"07013","07","Chiapas","013","Bochil"
"07015","07","Chiapas","015","Cacahoatan"
"07017","07","Chiapas","017","Cintalapa"
"07019","07","Chiapas","019","Comitan De Dominguez"
"07020","07","Chiapas","020","La Concordia"
"07027","07","Chiapas","027","Chiapa De Corzo"
"07031","07","Chiapas","031","Chilon"
"07034","07","Chiapas","034","Frontera Comalapa"
"07036","07","Chiapas","036","La Grandeza"
"07039","07","Chiapas","039","Huitiupan"
"07040","07","Chiapas","040","Huixtla"
"07041","07","Chiapas","041","La Independencia"
"07045","07","Chiapas","045","Ixtapangajoya"
"07051","07","Chiapas","051","Mapastepec"
"07052","07","Chiapas","052","Las Margaritas"
"07055","07","Chiapas","055","Metapa"
"07059","07","Chiapas","059","Ocosingo"
"07061","07","Chiapas","061","Ocozocoautla De Espinosa"
"07063","07","Chiapas","063","Osumacinta"
"07064","07","Chiapas","064","Oxchuc"
"07065","07","Chiapas","065","Palenque"
"07068","07","Chiapas","068","Pichucalco"
"07069","07","Chiapas","069","Pijijiapan"
"07072","07","Chiapas","072","Pueblo Nuevo Solistahuacan"
"07077","07","Chiapas","077","Salto De Agua"
"07078","07","Chiapas","078","San Cristobal De Las Casas"
"07079","07","Chiapas","079","San Fernando"
"07080","07","Chiapas","080","Siltepec"
"07087","07","Chiapas","087","Suchiate"
"07089","07","Chiapas","089","Tapachula"
"07091","07","Chiapas","091","Tapilula"
"07092","07","Chiapas","092","Tecpatan"
"07096","07","Chiapas","096","Tila"
"07097","07","Chiapas","097","Tonala"
"07099","07","Chiapas","099","La Trinitaria"
"07101","07","Chiapas","101","Tuxtla Gutierrez"
"07102","07","Chiapas","102","Tuxtla Chico"
"07105","07","Chiapas","105","Union Juarez"
"07106","07","Chiapas","106","Venustiano Carranza"
"07107","07","Chiapas","107","Villa Corzo"
"07108","07","Chiapas","108","Villaflores"
"07112","07","Chiapas","112","San Juan Cancuc"
"07113","07","Chiapas","113","Aldama"
"07114","07","Chiapas","114","Benemerito De Las Americas"
"07115","07","Chiapas","115","Maravilla Tenejapa"
"07117","07","Chiapas","117","Montecristo De Guerrero"
"08001","08","Chihuahua","001","Ahumada"
"08002","08","Chihuahua","002","Aldama"
"08003","08","Chihuahua","003","Allende"
"08004","08","Chihuahua","004","Aquiles Serdan"
"08005","08","Chihuahua","005","Ascension"
"08006","08","Chihuahua","006","Bachiniva"
"08007","08","Chihuahua","007","Balleza"
"08008","08","Chihuahua","008","Batopilas De Manuel Gomez Morin"
"08009","08","Chihuahua","009","Bocoyna"
"08010","08","Chihuahua","010","Buenaventura"
"08011","08","Chihuahua","011","Camargo"
"08012","08","Chihuahua","012","Carichi"
"08013","08","Chihuahua","013","Casas Grandes"
"08014","08","Chihuahua","014","Coronado"
"08016","08","Chihuahua","016","La Cruz"
"08017","08","Chihuahua","017","Cuauhtemoc"
"08018","08","Chihuahua","018","Cusihuiriachi"
"08019","08","Chihuahua","019","Chihuahua"
"08020","08","Chihuahua","020","Chinipas"
"08021","08","Chihuahua","021","Delicias"
"08023","08","Chihuahua","023","Galeana"
"08027","08","Chihuahua","027","Guachochi"
"08028","08","Chihuahua","028","Guadalupe"
"08029","08","Chihuahua","029","Guadalupe Y Calvo"
"08030","08","Chihuahua","030","Guazapares"
"08031","08","Chihuahua","031","Guerrero"
"08032","08","Chihuahua","032","Hidalgo Del Parral"
"08034","08","Chihuahua","034","Ignacio Zaragoza"
"08035","08","Chihuahua","035","Janos"
"08036","08","Chihuahua","036","Jimenez"
"08037","08","Chihuahua","037","Juarez"
"08038","08","Chihuahua","038","Julimes"
"08039","08","Chihuahua","039","Lopez"
"08040","08","Chihuahua","040","Madera"
"08043","08","Chihuahua","043","Matachi"
"08045","08","Chihuahua","045","Meoqui"
"08047","08","Chihuahua","047","Moris"
"08048","08","Chihuahua","048","Namiquipa"
"08050","08","Chihuahua","050","Nuevo Casas Grandes"
"08051","08","Chihuahua","051","Ocampo"
