,IPC,TIIE,CETES 28,CETES 91,CETES 182,CETES 364,CN,CNI,dIPC,dTIIE,dCNI,dCN,diferencia1,diferencia2,diferencia3,diferencia4
1990,570.14,0,0.3482,34.95,29.94,24.95,0,0,-,,-,-,-,-,-,-
1991,1086.08,0,0.1929,19.84,19.84,19.77,0,0,0.905,0.00%,-,-,0.712,0.707,0.707,0.707
1992,1671.61,0,0.1566,15.93,15.92,16.81,0,0,0.539,0.00%,-,-,0.383,0.380,0.380,0.371
1993,1856.24,0,0.1485,15.41,15.44,15.44,63.14461674,26.5294704,0.1104,0.00%,-,-,-0.0381,-0.044,-0.044,-0.044
1994,2520.65,0,0.1404,14.51,13.98,13.73,64.34901524,33.09386114,0.3579,0.00%,24.74%,1.91%,0.2175,0.213,0.218,0.221
1995,2219.36,46.01,0.4866,48.54,41.65,37.59,63.75373756,16.3343133,-0.1195,0.00%,-50.64%,-0.93%,-0.6061,-0.605,-0.536,-0.495
1996,3163.18,33.61,0.3133,32.85,33.66,34.22,67.02989056,26.8011052,0.4253,-26.96%,64.08%,5.14%,0.112,0.097,0.089,0.083
1997,4442.42,21.91,19.83,21.25,21.87,22.35,71.07984056,34.474863,0.4044,-34.81%,28.63%,6.04%,0.2061,0.192,0.186,0.181
1998,4241.03,26.89,24.62,26.04,21.54,22.32,74.92174624,29.5787318,-0.0453,22.74%,-14.20%,5.41%,-0.2915,-0.306,-0.261,-0.269
1999,5332.09,24.1,21.29,22.26,23.39,24.23,79.05228754,35.49628939,0.2573,-10.38%,20.01%,5.51%,0.0444,0.035,0.023,0.015
2000,6515.86,16.96,15.27,16.16,16.6,16.94,81.94642438,56.2448703,0.222,-29.64%,58.45%,3.66%,0.0693,0.060,0.056,0.053
2001,6119.71,12.89,11.26,12.19,13,13.58,82.97150573,57.99720659,-0.0608,-24.01%,3.12%,1.25%,-0.1734,-0.183,-0.191,-0.197
2002,6517.99,8.17,7.08,7.43,8.07,8.62,83.55341065,56.44389112,0.0651,-36.62%,-2.68%,0.70%,-0.0057,-0.009,-0.016,-0.021
2003,7186.92,6.83,6.24,6.53,6.92,7.25,87.3413303,63.51995778,0.1026,-16.37%,12.54%,4.53%,0.0402,0.037,0.033,0.030
2004,10677.26,7.15,6.84,7.13,7.4,7.8,90.39765477,74.03906999,0.4857,4.61%,16.56%,3.50%,0.4173,0.414,0.412,0.408
2005,14458.61,9.61,9.19,9.32,9.28,9.24,90.58407027,82.24065775,0.3541,34.46%,11.08%,0.21%,0.2622,0.261,0.261,0.262
2006,21074.75,7.51,7.19,7.29,7.41,7.49,94.01711665,86.3378716,0.4576,-21.86%,4.98%,3.79%,0.3857,0.385,0.384,0.383
2007,29713.72,7.66,7.19,7.36,7.48,7.59,93.52603341,90.55435657,0.4099,2.01%,4.88%,-0.52%,0.338,0.336,0.335,0.334
2008,26859.9,8.28,7.68,7.89,8.02,8.12,92.20588484,76.63580707,-0.096,8.06%,-15.37%,-1.41%,-0.1728,-0.175,-0.176,-0.177
2009,25306.03,5.93,5.39,5.47,5.56,5.77,94.18743241,80.47769465,-0.0579,-28.31%,5.01%,2.15%,-0.1118,-0.113,-0.114,-0.116
2010,33285.89,4.91,4.4,4.57,4.68,4.85,96.0917899,79.43125353,0.3153,-17.25%,-1.30%,2.02%,0.2713,0.270,0.269,0.267
2011,36340.53,4.82,4.24,4.35,4.51,4.66,98.64602968,89.3500199,0.0918,-1.75%,12.49%,2.66%,0.0494,0.048,0.047,0.045
2012,40037.19,4.79,4.24,4.38,4.51,4.62,97.90760445,92.91185756,0.1017,-0.73%,3.99%,-0.75%,0.0593,0.058,0.057,0.056
2013,42060.97,4.28,3.75,3.81,3.9,3.98,100.9188498,100.2305095,0.0505,-10.60%,7.88%,3.08%,0.013,0.012,0.012,0.011
2014,42644.21,3.52,3,3.12,3.22,3.37,102.8633581,103.7260662,0.0139,-17.91%,3.49%,1.93%,-0.0161,-0.017,-0.018,-0.020
2015,43770.96,3.32,2.98,3.14,3.29,3.53,107.1250354,112.5978033,0.0264,-5.64%,8.55%,4.14%,-0.0034,-0.005,-0.007,-0.009
2016,45901.91,4.47,4.17,4.36,4.52,4.57,114.2547018,110.9808662,0.0487,34.82%,-1.44%,6.66%,0.007,0.005,0.004,0.003
2017,48995.62,7.06,6.69,6.88,7.02,7.1,115.0472808,123.057171,0.0674,57.77%,10.88%,0.69%,0.0005,-0.001,-0.003,-0.004
2018,46730.69,8,7.62,7.83,7.97,8.06,116.3457321,118.9499511,-0.0462,13.36%,-3.34%,1.13%,-0.1224,-0.125,-0.126,-0.127
2019,43066.34,8.32,7.85,7.94,7.95,7.89,115.7257882,122.2364814,-0.0784,4.00%,2.76%,-0.53%,-0.1569,-0.158,-0.158,-0.157
2020,38704.09,5.72,5.32,5.33,5.28,4.79,106.8327528,123.2864838,-0.1013,-31.22%,0.86%,-7.68%,-0.1545,-0.155,-0.154,-0.149
2021,49487.49,4.62,4.43,4.64,4.9,5.25,113.9972651,139.8232832,0.2786,-19.20%,13.41%,6.71%,0.2343,0.232,0.230,0.226
,,,,,,,,,0.176943806,,,,0.063527677,0.059605096,0.061208322,0.060321225
