 C , lnC , dC ,y,Y, lnY , dY , I , lnI , dI , g ,g2,G, lnG , dG , balanza bruta ,balanza comercial2,XN, dXN , INPC 
57.54,4.05,,"10,066,787.06",61.36,16.12, -   ,60.6,4.1, -   ,"25,976.20","1,986.95",5.68,7.59, -   ,, -   ,0, -   ,13.07341967
58.42,4.07,1.53,"10,093,479.77",61.52,16.13,0.27,60.9,4.11,0.49,"69,634.63","5,231.44",14.97,8.56,12.77997365,, -   ,0, -   ,13.31080467
58.1,4.06,-0.54,"10,195,696.76",62.15,16.14,1.01,61.3,4.12,0.66,"122,011.57","9,016.86",25.8,9.11,6.425233645,, -   ,0, -   ,13.53149867
58.55,4.07,0.77,"10,329,417.48",62.96,16.15,1.31,65.13,4.18,6.24,"176,421.63","12,827.76",36.7,9.46,3.841931943,, -   ,0, -   ,13.75311
59.36,4.08,1.37,"10,436,874.51",63.62,16.16,1.04,70.67,4.26,8.51,"32,424.70","2,312.38",6.62,7.75,-18.07610994,, -   ,0, -   ,14.02224133
61.56,4.12,3.71,"10,656,483.92",64.95,16.18,2.1,72.76,4.29,2.95,"84,951.63","5,968.80",17.08,8.69,12.12903226,, -   ,0, -   ,14.23260933
62.27,4.13,1.17,"10,737,542.32",65.45,16.19,0.76,71.95,4.28,-1.11,"147,402.43","10,204.26",29.19,9.23,6.214039125,, -   ,0, -   ,14.44518367
62.48,4.13,0.32,"10,861,387.82",66.2,16.2,1.15,69.34,4.24,-3.62,"214,627.30","14,593.28",41.75,9.59,3.900325027,, -   ,0, -   ,14.70727
58.99,4.08,-5.57,"10,238,390.03",62.41,16.14,-5.74,48.89,3.89,-29.49,"33,100.27","2,052.55",5.87,7.63,-20.4379562,, -   ,0, -   ,16.12643833
58.05,4.06,-1.6,"9,737,224.15",59.35,16.09,-4.89,42.96,3.76,-12.12,"87,962.90","4,620.20",13.22,8.44,10.61598952,, -   ,0, -   ,19.038749
58.43,4.07,0.66,"9,921,091.13",60.47,16.11,1.89,43.26,3.77,0.68,"158,030.93","7,722.86",22.09,8.95,6.042654028,, -   ,0, -   ,20.46273733
58.52,4.07,0.14,"10,110,505.61",61.63,16.13,1.91,47.38,3.86,9.53,"240,750.03","11,007.47",31.49,9.31,4.022346369,, -   ,0, -   ,21.87151233
59.77,4.09,2.15,"10,383,696.93",63.29,16.16,2.7,49.48,3.9,4.43,"47,005.97","1,969.42",5.63,7.59,-18.47475832,, -   ,0, -   ,23.86794733
